date,R,M,CRM,CPI,IP,PC,OP,Q,Interv
1999-09-01,4.84,16.6668272921638,32442,4.43615890045702,3.85643556722357,3.8119433796435356,3.4081731926236256,-4.7958731868099616,579.7508250921696
1999-10-01,4.82,16.6701510269012,35484,4.44141905917712,3.93894201531633,3.8077306947083183,3.393627811822821,-4.794301834710595,645.6383986928281
1999-11-01,4.83,16.675589431435,55470,4.43811920360046,3.9591954254014,3.8083522606611004,3.4556757403593554,-4.795459912431222,1255.8865138640626
1999-12-01,4.73,16.6866410131607,89020,4.43921043126033,3.96409111619587,3.815582256085121,3.489636347612472,-4.7900717450454335,2289.34674446389
2000-01-01,4.61,16.6961165454374,153042,4.44044903688305,3.98100132922046,3.8376730222560544,3.510081341815136,-4.816403086276466,4229.796369891345
2000-02-01,4.61,16.6964604201848,121704,4.44871134381041,3.93964278776651,3.840094203546272,3.5794020053467093,-4.851483239328943,3327.8800522984125
2000-03-01,4.64,16.7090738286074,-16780,4.44275160453976,3.98136561945444,3.826486911169847,3.5936597786504976,-4.827193109633598,-1101.3195353762842
2000-04-01,4.65,16.7120182567891,56172,4.44348213913635,3.97296034632637,3.8171649362557476,3.480618154576145,-4.842532174539857,1345.4842295613298
2000-05-01,4.77,16.7114924451413,-33202,4.44922138410279,3.98674623094656,3.819496798445573,3.614286733579031,-4.859192056947237,-1608.536874836451
2000-06-01,4.8,16.713175865365,4669,4.44535181118443,4.01353642906357,3.805560796497851,3.7058797497587896,-4.838105639764771,-401.23547592118223
2000-07-01,4.79,16.7167128089807,14832,4.44450416620975,4.00643266409537,3.7966020706957964,3.6613854359619684,-4.83397766692674,-119.77728078241478
2000-08-01,4.75,16.7225649640327,4989,4.44370913996669,3.99423007889248,3.7936373133319408,3.7059877775722745,-4.839055833834204,-446.88774080793166
2000-09-01,4.8,16.7263990395642,-34830,4.45306462815794,4.0350400577979,3.801105978337383,3.7987478952944675,-4.8523427151016625,-1703.1047231029002
2000-10-01,4.76,16.7329722609449,-48335,4.45065399834269,4.00491494118592,3.7861687379032785,3.7845554450829955,-4.841822087327094,-2145.918447521699
2000-11-01,4.74,16.741595249569,-37781,4.46004996230875,3.9824650795606,3.773787388774338,3.8232543227480207,-4.836281906951478,-1760.5516932193057
2000-12-01,4.72,16.7494812428067,-115403,4.45498541656359,3.99546172811434,3.793757364874656,3.755708427678323,-4.803365091938336,-4049.637191789008
2001-01-01,4.66,16.7548625568114,56520,4.46248416988551,3.84136168495128,3.797617327574609,3.754389728213628,-4.824064723012886,1141.1903270503094
2001-02-01,4.52,16.7557870143303,79513,4.44013487071775,4.08600150472522,3.7844724910873,3.7067280243055234,-4.817454993967425,1876.4208887957893
2001-03-01,4.36,16.7598626468407,48107,4.44724762977501,3.95806974578826,3.7694415915914745,3.6310555888188314,-4.8235825629264,897.0177404022144
2001-04-01,4.23,16.7589823550029,24181,4.44686434966642,3.89786147671619,3.756230545259868,3.6505506192465953,-4.830072190317164,222.49414244835077
2001-05-01,4.04,16.7666643187605,-6832,4.44640824872942,3.89931310769024,3.765712797695792,3.667258979263708,-4.814133673728467,-729.3960064661571
2001-06-01,3.9,16.7760975404665,-38576,4.44514133311503,3.88155931874614,3.752732823176384,3.6339094108706185,-4.788740962182478,-1648.0426910543538
2001-07-01,3.69,16.7801989339312,7506,4.44507238924669,3.86796168646458,3.7723908592720052,3.5396394305795282,-4.778114580969449,-276.1497266050799
2001-08-01,3.51,16.783979569303,61340,4.44811091793444,3.89972969562942,3.762966021216089,3.565277654051016,-4.768563732896527,1277.1307961760917
2001-09-01,3.17,16.7883781954682,73869,4.44815226558028,3.86891603014508,3.7338370978767985,3.514506644633606,-4.764820003517629,1639.360553574853
2001-10-01,2.73,16.7880341781105,44217,4.45968676331991,3.90153540195784,3.689082755873403,3.368997687255942,-4.791151703613533,831.187396898062
2001-11-01,2.49,16.7883234727055,193905,4.44899455907988,3.89479065716482,3.7165589674867148,3.2793215715883073,-4.789323397611016,5237.159948254427
2001-12-01,2.39,16.7917906040661,38102,4.43786999511754,3.89724304689548,3.7241349651089597,3.2698635942614116,-4.778366904449487,629.3980590969206
2002-01-01,2.3,16.789582687431,75149,4.44482809901275,3.93149529174189,3.734984935123454,3.280889638993752,-4.787658395561367,1578.4305260825568
