date,R,M,CRM,CPI,IP,PC,OP,Q,Interv
1991-12-01,6.33,7402961,47112,69.35,37.84,47.6458836697041,25.0360509286809,0.007209285559801023,1163.6513408380822
1992-01-01,5.56,7608749,52232,70.04,36.5,48.1683296694261,23.7111962659303,0.007011639321273314,1461.325012936306
1992-02-01,6.89,7599917,26177,70.66,28.55,48.4883632902167,23.82714884525,0.006856829402084476,512.0213540255045
1992-03-01,6.67,7666549,-10631,70.75,36.38,48.5241663763323,23.7874296059218,0.006847907964116962,-935.5527019799129
1992-04-01,6.68,7736453,12751,71.9,36.04,48.2170743010134,25.241199547127,0.0067540186410914495,-119.80615987566017
1992-05-01,7.95,7869993,18925,72.14,36.74,48.3278434891203,26.331457921689,0.006740361283364788,94.94410600931872
1992-06-01,8.53,8027549,17212,71.94,35.92,48.489849165771,27.7251581024443,0.006809206046574969,31.862053866341398
1992-07-01,7.02,8278078,13769,71.42,36.91,48.7022800186973,27.2945595738569,0.006959910913140311,270.66923218107456
1992-08-01,7.13,8340307,-365,71.1,36.61,48.5184667161701,27.0021965137959,0.007127075760815337,-464.3936983844816
1992-09-01,6.62,8404748,-11372,73.39,34.99,47.8864696068268,28.0477132301708,0.0069895855175788075,-785.5015209594528
1992-10-01,6.07,8559614,10543,73.36,36.43,46.4006551265784,28.0240687353758,0.006949270326615705,-141.64879941873102
1992-11-01,5.64,8588927,-57152,72.19,35.48,46.3301178222184,26.4001408705687,0.006921852287672181,-2810.2449860478077
1992-12-01,7.04,8813714,-34580,71.72,38.26,46.6561929348135,25.283169322879,0.006973987028384128,-1889.4138453065598
1993-01-01,7.73,8972472,4492,72.6,30.63,47.1577273289537,24.2066504703442,0.006853070175438597,-165.47704301335216
1993-02-01,6.92,9047037,-5492,72.82,34.24,47.3733526144251,24.7738616602222,0.006982752601075343,-536.0066361368347
1993-03-01,7.01,9069622,815,73.05,37.83,47.3557900456293,25.7393488155619,0.007111869710546902,-397.9578063283382
1993-04-01,7.18,9081606,17231,73.89,36.74,47.601217154882,25.8927272081564,0.0072098053352559486,271.23889043038906
1993-05-01,6.91,9129893,7919,73.64,37.37,48.4746038760456,25.3676844547915,0.007274314395868189,-111.94957569974287
1993-06-01,6.08,9377621,-10096,75.07,36.69,47.9619902618654,24.3548394622919,0.007234843003906815,-803.3942113161622
1993-07-01,5.91,9440984,-23384,73.77,38.63,49.5235977126044,23.232166062299,0.007418397626112759,-1216.7852355387317
1993-08-01,6.08,9524305,-2248,73.46,38.02,49.2235913890641,23.6636114119781,0.007613826709304096,-528.8522537263168
1993-09-01,5.08,9734635,10556,73.93,37.55,48.7467301311108,23.0362953404749,0.00760051683514479,-12.020267399977172
1993-10-01,6,9807953,21229,74.26,37.3,48.4273182936856,23.3625549064519,0.0075125835774922985,275.14286456522575
1993-11-01,5.7,9877392,-1152,74.42,36.86,48.9379792523726,22.2650911154806,0.007425558773297691,-477.0591455201231
1993-12-01,5.65,10170199,10528,75.04,39.92,50.1478195368174,20.8181789339281,0.007300868803387603,-76.84705769081029
1994-01-01,6.72,10353413,11670,74.71,37.15,50.6188762050026,21.1344409673467,0.007236413633403285,22.039900325306633
1994-02-01,7.07,10488347,22658,75.68,30.47,51.2240934630996,21.1927123039255,0.007261109497531223,427.0121514760092
1994-03-01,5.52,10553232,1329,75.47,39.81,51.257050277135,20.2868476017843,0.0073491585213493055,-367.5513763066509
1994-04-01,5.51,10640378,-896,76.16,38.96,51.29254988893,21.6279216415678,0.007325470661490001,-405.41808923724255
1994-05-01,5.15,10729961,15768,76.86,39.62,53.1736793353585,22.8435984093131,0.007416747014759326,309.03110048970166
1994-06-01,5.49,10941145,19520,76.67,39.89,54.5325797952622,23.8690255732876,0.007558007709167864,450.4874085636096
1994-07-01,6.47,11055572,11906,76.83,39.46,56.6539753805498,24.7244306914591,0.007593591009188245,-79.0879457323436
1994-08-01,8.4,11085786,13708,78.64,39.21,56.4437204814583,23.414660322888,0.00735564545788893,3396.5338768071147
1994-09-01,7.5,11170571,1982,78.88,39.35,58.0559407188229,22.3494802882125,0.007343761474627305,-388.2690450440583
1994-10-01,6.85,11387056,-7057,78.02,40.03,57.3024649111525,22.7004725959936,0.007467702188036741,-762.8814482000668
1994-11-01,5.35,11427757,33037,77.31,41.51,58.6213265508032,23.4569687544519,0.007544892108042855,782.7318081588028
1994-12-01,5.58,11702786,-1270,77.03,42.32,59.2195059065881,22.5550208884126,0.007531821947729155,-546.1351323723418
1995-01-01,6.15,11971359,464,78.62,39.34,60.6355293048818,23.4108734395781,0.0073937153419593345,-470.1474392480104
1995-02-01,5.69,11922884,19353,78.28,34.47,60.2279983992771,24.0817017808479,0.007509198768491402,258.9262040096647
1995-03-01,6.17,11966696,10405,78.39,43.85,59.8552822511053,23.9890354970022,0.007710100231303007,-99.76397671480117
1995-04-01,6.55,11990906,7985,79.54,40.88,59.8090149578106,25.4558032469316,0.007679311933650745,-89.9287436296625
1995-05-01,6,11978337,14466,79.39,43.67,58.9830452703853,25.327435291386,0.0076769537847382165,95.96784680827562
1995-06-01,5.7,12236929,5052,80.25,42.03,59.0296702338718,24.2736643179164,0.007695267410542517,-266.0901934731156
1995-07-01,5.35,12251293,-26099,79.78,41.76,60.3064298439982,22.711844686712,0.007825338445887784,-1495.3055006071063
1995-08-01,6.46,12338466,-71421,79.98,42.11,59.7592230759128,23.2695043784011,0.007852375343541421,-3066.8463145213054
1995-09-01,7.94,12355273,-88607,80.46,41.1,58.720906945371,23.7443141806998,0.0077303648732220155,-3524.4197322700743
1995-10-01,6.51,12458874,18731,80.26,40.64,58.9206773993918,23.1547425747667,0.007648768548263729,169.47726874287332
1995-11-01,6.26,12497945,-4688,80.58,41.23,59.5378806813851,24.1034322264552,0.007672241829062452,-729.9575664935224
1995-12-01,6.04,12805365,-6229,80.55,41.6,59.0295509710154,26.1572998880292,0.007668123610152596,-777.0501313338942
1996-01-01,5.71,12810897,21062,80.42,41.44,58.3780134031337,26.3893024018199,0.007622532205198567,293.28728972701634
1996-02-01,6.1,12976185,-6019,81.22,34.68,59.175157915245,28.2112338729412,0.0075895567698846395,-690.8077182864804
1996-03-01,6.08,12961395,-190825,80.75,41.52,59.27556208622,28.0724172367715,0.007628928898382666,-7455.163356799254
1996-04-01,5.93,12987518,73426,81.78,41.53,61.4042586636619,28.7205982970644,0.007462129691814044,2390.552301922042
1996-05-01,5.45,13091941,13141,81.68,43.2,62.1767383796996,26.8265374592828,0.0075295534974775995,127.80869200102455
1996-06-01,5.09,13422946,11311,82.16,42,59.8573923722461,26.5650704062991,0.007525586995785672,51.258626499594754
1996-07-01,5.04,13494036,-1538,80.94,42.97,58.7911257135149,27.6951979178567,0.007623694442326752,-483.23947942949735
1996-08-01,5.45,13496170,10471,84.02,43.15,58.4655644451969,28.0274863950669,0.0073708262696248255,-52.71321239649649
1996-09-01,5.1,13608373,33994,83.55,42.1,57.0316964447757,29.7109600196629,0.007383343177790904,799.8869931921213
1996-10-01,4.93,13704798,16580,83.22,43.76,55.3158193192246,31.9135575217735,0.007379529186037931,160.8025122280444
1996-11-01,5.05,13774068,25702,83.16,44.4,56.017891929729,31.4098572609319,0.007418397626112759,484.24824154186103
1996-12-01,5.15,13973876,22373,82.58,46,55.9394976513429,33.750020562386,0.007407407407407408,363.95776239744305
1997-01-01,5.65,14128966,56105,82.01,43.93,57.9112869522279,32.620649316756,0.007338372349012989,1573.623197749609
1997-02-01,6.66,14247106,22051,82.89,35.22,58.9195173151614,28.1687561707154,0.007127075760815337,350.5158967226334
1997-03-01,6.19,14263145,7425,81.63,46,60.4060110973446,26.5375950147528,0.00721552781585973,-177.67489280362753
1997-04-01,6.56,14213787,22236,82.19,44.47,59.6173779542486,25.1690754102254,0.007175660160734787,432.32886042488184
1997-05-01,5.66,14247253,-847,82.3,46.28,60.1414648191861,27.0312080941491,0.007342683016374183,-453.7420963777406
1997-06-01,7.21,14420802,7301,83.67,44.15,58.5783914206771,25.3825404385373,0.0073163593795727245,-151.83400248512788
1997-07-01,7.11,14478361,443,83.62,46.1,56.8847255324305,25.7753711173321,0.007290755322251386,-475.45282570845995
1997-08-01,8.11,14520631,-31871,83.53,45.68,56.4618378236558,26.6137448386636,0.007399186089530151,-1547.1641433863524
1997-09-01,7.56,14521550,-70047,84.08,45.58,55.3838700006653,27.0825103667788,0.007336757153338224,-2819.5590225555347
1997-10-01,7.82,14701794,-111199,82.95,48.46,54.2720155079879,28.7778496676315,0.00771604938271605,-4009.9360939465296
1997-11-01,7.12,14825621,34622,82.73,46.89,53.9786992401502,27.584331156432,0.008172605426610004,796.3999914399601
1997-12-01,6.67,15094359,25514,82.8,50.11,52.8407039511165,24.4309184113573,0.008054123711340207,447.36067216430297
1998-01-01,7.31,15511160,-6488,83.65,41.05,51.5908579099656,21.889461250263,0.008260366760284157,-602.8538199653037
1998-02-01,7.22,15498842,28078,83.13,42.41,52.1308840349437,21.1611942424215,0.008148631029986962,441.77733959318033
1998-03-01,6.93,15449224,5080,83.65,47.8,51.30227776809,20.046349246379,0.00799105002397315,-249.79327508789385
1998-04-01,6.8,15419612,-4661,83.93,46.98,51.6562607307373,20.6108664457309,0.008087343307723413,-463.5515715628805
1998-05-01,6.88,15424517,14932,83.67,46.72,50.2857956071519,20.7365429423479,0.0081953778069169,169.48776741786827
1998-06-01,6.84,15589912,-27714,84.88,46.9,48.351842742431,19.1015380962292,0.008212203334154554,-1053.8455779248643
1998-07-01,6.75,15648768,4065,84.32,47.56,47.8194242429156,19.2747585375829,0.008227067050596462,-249.15836043168053
1998-08-01,6.67,15738523,-18433,83.91,47.3,46.8489884774302,18.4318273318885,0.008259002312520648,-884.6179578157469
1998-09-01,6.52,15916860,-21892,84.42,48.13,47.1551070634405,20.066263517609,0.008454514710855596,-972.3865155011467
1998-10-01,6.06,16053042,46571,85.09,48.96,47.0994160186184,19.251512535326,0.008378718056137411,875.3325128968822
